company_id,ticker,fiscal_year,fiscal_period,period_end_date,metric_name,metric_value,unit,currency,source_id,extraction_method
1,YETI,2025,FY,2026-01-03,NetSales,1868494,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,CostOfGoodsSold,795810,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,GrossProfit,1072684,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,SGAExpenses,859127,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,OperatingIncome,213557,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,NetIncome,165387,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,EPSDiluted,2.03,USD_per_share,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,DilutedSharesOutstanding,81595,thousands_shares,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,TotalAssets,1235418,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,Inventory,290611,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,Cash,188342,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,TotalLiabilities,585142,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,StockholdersEquity,650276,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,OperatingCashFlow,254737,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,CapitalExpenditures,42667,USD_thousands,USD,1,manual_verified
1,YETI,2025,FY,2026-01-03,FreeCashFlow,212070,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,NetSales,1829873,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,CostOfGoodsSold,766589,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,GrossProfit,1063284,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,SGAExpenses,817908,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,OperatingIncome,245376,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,NetIncome,175689,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,EPSDiluted,2.05,USD_per_share,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,DilutedSharesOutstanding,85755,thousands_shares,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,TotalAssets,1286120,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,Inventory,310058,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,Cash,358795,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,TotalLiabilities,546013,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,StockholdersEquity,740107,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,OperatingCashFlow,261386,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,CapitalExpenditures,41832,USD_thousands,USD,1,manual_verified
1,YETI,2024,FY,2024-12-28,FreeCashFlow,219554,USD_thousands,USD,1,manual_verified
1,YETI,2018,FY,2018-12-29,NetSales,778833,USD_thousands,USD,3,manual_verified
1,YETI,2018,FY,2018-12-29,GrossProfit,383128,USD_thousands,USD,3,manual_verified
1,YETI,2018,FY,2018-12-29,NetIncome,57763,USD_thousands,USD,3,manual_verified
1,YETI,2018,FY,2018-12-29,EPSDiluted,0.69,USD_per_share,USD,3,manual_verified
